[2026-03-25T16:36:55.854+0900][26.314s][info][gc,heap     ] GC(12) Archive regions: 0->0
[2026-03-25T16:36:55.854+0900][26.314s][info][gc,heap     ] GC(12) Humongous regions: 0->0
[2026-03-25T16:36:55.854+0900][26.314s][info][gc,metaspace] GC(12) Metaspace: 181K(384K)->181K(384K) NonClass: 170K(256K)->170K(256K) Class: 10K(128K)->10K(128K)
[2026-03-25T16:36:55.854+0900][26.314s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 181M->144M(256M) 4.062ms
[2026-03-25T16:36:55.854+0900][26.314s][info][gc,cpu      ] GC(12) User=0.00s Sys=0.00s Real=0.00s
[2026-03-25T16:36:57.475+0900][27.934s][info][gc,start    ] GC(13) Pause Young (Concurrent Start) (G1 Evacuation Pause)
[2026-03-25T16:36:57.475+0900][27.935s][info][gc,task     ] GC(13) Using 8 workers of 8 for evacuation
[2026-03-25T16:36:57.477+0900][27.937s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.2ms
[2026-03-25T16:36:57.477+0900][27.937s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.2ms
[2026-03-25T16:36:57.477+0900][27.937s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 0.4ms
[2026-03-25T16:36:57.477+0900][27.937s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.9ms
[2026-03-25T16:36:57.477+0900][27.937s][info][gc,phases   ] GC(13)   Other: 0.3ms
[2026-03-25T16:36:57.477+0900][27.937s][info][gc,heap     ] GC(13) Eden regions: 6->0(6)
[2026-03-25T16:36:57.477+0900][27.937s][info][gc,heap     ] GC(13) Survivor regions: 1->1(1)
[2026-03-25T16:36:57.477+0900][27.937s][info][gc,heap     ] GC(13) Old regions: 18->18
